,supersub_activated_leg_yn,bet_type,in_play_yn,sim,total_stakes,total_payout
1586,N,Single,Y,183,9653.88581700,47437.288828
1587,Y,Multiple,Y,113,8336.63595400,85608.769967
1588,Y,Multiple,Y,69,1875.52671000,16509.356608
1589,Y,Single,Y,97,3126.09662000,8547.082792
1590,Y,Multiple,N,119,24517.39508600,298018.993869
1591,N,Multiple,N,23,61914.56540900,725892.190956
1592,N,Single,Y,149,6797.03973700,39791.586835
1593,N,Multiple,N,117,21675.91943800,137619.164262
1594,Y,Single,Y,181,2461.34655900,8626.517048
1595,Y,Multiple,N,110,11968.19441200,156275.723397
1596,Y,Single,Y,41,822.90373400,4248.165139
1597,Y,Multiple,N,160,18970.42262100,197832.204409
1598,N,Single,Y,4,3579.51190600,28979.383070
1599,N,Single,N,90,14328.58991300,41702.641238
