,supersub_activated_leg_yn,bet_type,in_play_yn,sim,total_stakes,total_payout
385,N,Multiple,Y,14,3007.79885800,36273.541313
386,Y,Multiple,Y,92,2764.47790000,28433.191945
387,N,Multiple,Y,164,2893.40386400,28941.722390
388,N,Single,N,31,5088.63476600,17654.442660
389,Y,Multiple,Y,148,991.05305000,9860.469034
390,N,Single,N,63,6788.67517000,14415.076866
391,N,Multiple,Y,127,3333.34019900,26754.951407
392,N,Single,N,26,4038.08699900,15028.160545
393,N,Multiple,Y,82,1108.21683500,19420.907707
394,Y,Single,Y,155,3420.12645300,8951.046168
395,Y,Multiple,N,105,23822.57897800,323180.689495
396,N,Multiple,N,43,20757.78466000,244769.886693
397,Y,Single,Y,125,2935.10471500,15700.755585
398,N,Single,Y,82,5713.01529200,36117.788659
399,N,Single,N,115,13229.19803300,33622.319177
400,Y,Single,Y,194,2398.02141300,6016.555697
401,N,Single,Y,97,8693.29490400,34290.373949
402,N,Single,Y,199,4609.98223600,23094.643723
403,Y,Single,N,116,4657.86080500,12985.784769
404,Y,Single,N,194,13422.10430600,26534.465696
405,Y,Single,N,125,3503.36041100,10291.031983
406,Y,Single,N,11,5164.59420400,16650.182733
407,Y,Single,Y,109,1984.01404600,7912.815730
408,N,Single,N,119,2804.66965000,9827.546367
409,N,Single,Y,25,7726.68846800,36783.787840
410,Y,Single,N,162,11649.75535200,20270.110756
411,N,Single,Y,50,3409.24558300,21661.845842
412,Y,Multiple,Y,112,569.43973500,8609.885657
413,N,Single,N,174,1213.93000000,5805.929542
414,Y,Single,Y,117,1349.65288000,5353.171318
415,Y,Single,N,195,36959.32085700,72381.577321
416,Y,Multiple,Y,89,819.14616000,6239.301360
417,N,Multiple,Y,174,807.44959400,10806.769400
418,N,Multiple,N,197,32832.20699700,301995.468581
419,N,Single,Y,162,3709.27094900,21086.640973
420,N,Single,N,73,40480.43989800,120668.216929
421,N,Single,Y,11,3599.13310500,25862.216482
422,N,Multiple,N,53,29149.74153200,321805.739089
423,Y,Single,Y,6,2431.00314600,8987.634849
424,Y,Multiple,Y,27,810.80828000,8111.475512
425,N,Multiple,Y,150,2691.49640500,28840.406576
426,N,Multiple,N,69,15821.04869500,234257.724297
427,N,Multiple,N,192,13704.68815900,177684.488491
428,Y,Multiple,Y,197,3551.71518200,22568.359822
429,N,Single,Y,146,5176.96858900,33282.207962
430,Y,Multiple,Y,152,1245.08612500,14645.465884
431,Y,Multiple,Y,106,284.51275000,3743.986090
432,Y,Multiple,N,123,20062.11707500,179681.601673
433,N,Single,N,185,23056.99329600,46873.674118
434,N,Multiple,Y,5,2498.68831400,30247.556574
435,N,Single,Y,140,3032.28953000,19166.781521
436,N,Multiple,N,41,8308.94912800,108795.201824
437,N,Multiple,Y,12,1506.83494500,26948.153618
438,Y,Multiple,Y,17,1669.56673500,20934.323186
439,N,Multiple,Y,134,2153.14234000,25528.939131
440,N,Multiple,N,5,12652.04657000,126514.521924
441,N,Single,N,140,10809.00905300,28285.475995
442,N,Multiple,Y,114,1669.04524400,24090.955784
443,Y,Single,Y,31,3056.53368000,7349.658395
444,N,Single,Y,126,3356.15640400,19824.876145
445,N,Single,N,85,16310.38609200,59636.600123
446,N,Single,Y,26,6413.87732500,33736.026693
447,Y,Multiple,Y,67,600.86910000,5865.895649
448,N,Multiple,N,181,45806.55136600,439890.211416
