,event_id,market_id,selection_id,home_team,away_team,selection_name,sot_level,actual_sot,total_bets_laid_on_next_sot_level,total_bets_laid,next_sot_level_laid,sample_weight
12761,12767536,458823393,2221328958,Southampton,Leicester,Ryan Manning,1,0,2,33639955,1,5.94531116346618e-08
12762,13270883,476741873,2299848281,Brentford,Tottenham,Dane Scarlett,1,0,20,33639955,1,5.94531116346618e-07
12763,13303996,479430499,2308901109,Leicester,Arsenal,Martin Odegaard,1,0,6098,33639955,1,0.000181272537374084
12764,13299468,479433948,2308915573,Liverpool,Wolves,Mohamed Salah,2,1,37143,33639955,2,0.00110413346272312
12765,13501232,493919373,2365760806,Wolves,West Ham,Niclas Fullkrug,1,0,77,33639955,1,2.28894479793448e-06
12766,13701719,501753578,2399129771,Brighton,Newcastle,Matt O'Riley,1,0,671,33639955,1,1.9946518953429e-05
12767,13621886,497193630,2378820625,Man City,Crystal Palace,Omar Marmoush,2,1,6,33639955,2,1.78359334903985e-07
12768,13664440,499547980,2389283558,Man City,Aston Villa,Nico Gonzalez,1,0,9,33639955,1,2.67539002355978e-07
12769,13436812,484842818,2331301346,Tottenham,Bournemouth,Yves Bissouma,1,0,70,33639955,1,2.08085890721316e-06
12770,12565944,440572546,1965792653,Aston Villa,Arsenal,Jorginho,1,0,3,33639955,1,8.91796674519927e-08
12771,12565942,440573075,1965795547,Liverpool,Brentford,Mads Roerslev,1,0,8,33639955,1,2.37812446538647e-07
12772,13331911,480779594,2314802552,Fulham,Crystal Palace,Calvin Bassey,1,0,4,33639955,1,1.18906223269324e-07
12773,12804247,460110915,2226722763,Chelsea,Newcastle,Anthony Gordon,1,0,14,33639955,1,4.16171781442633e-07
12774,13201967,474147270,2286062642,Nottm Forest,Southampton,Joe Aribo,1,0,32,33639955,1,9.51249786154589e-07
12775,13166265,471687395,2275880585,Southampton,Brentford,Taylor Harwood-Bellis,1,0,18,33639955,1,5.35078004711956e-07
12776,13331843,480783132,2314819031,Southampton,Brighton,Danny Welbeck,1,0,373,33639955,1,1.10880053198644e-05
12777,13635243,498774394,2385804279,Leicester,Liverpool,James Justin,1,0,8,33639955,1,2.37812446538647e-07
12778,12899937,462709571,2237805955,Wolves,Southampton,Taylor Harwood-Bellis,1,0,74,33639955,1,2.19976513048249e-06
12779,13119662,470672571,2271421619,Chelsea,Fulham,Christopher Nkunku,2,1,112,33639955,2,3.32937425154106e-06
12780,12309965,439637613,1961627589,Man Utd,Fulham,Andreas Pereira,1,0,4876,33639955,1,0.000144946686165306
12781,13076327,469083795,2264351461,Liverpool,Fulham,Harvey Elliott,1,0,36,33639955,1,1.07015600942391e-06
12782,13398474,481775171,2319259111,Crystal Palace,Aston Villa,Marc Guehi,1,0,31,33639955,1,9.21523230337258e-07
12783,13026598,467335785,2256937935,Ipswich,Crystal Palace,Leif Davis,1,0,89,33639955,1,2.64566346774245e-06
12784,13089594,470037696,2268639328,Ipswich,Newcastle,Cameron Burgess,1,0,15,33639955,1,4.45898337259964e-07
12785,12697137,451133697,2188021466,Newcastle,Man City,Ruben Dias,1,0,393,33639955,1,1.1682536436211e-05
12786,13336698,480764023,2314730837,Aston Villa,Chelsea,Jamaldeen Jimoh,1,0,1,33639955,1,2.97265558173309e-08
12787,12767530,458810082,2221271302,Liverpool,Chelsea,Carney Chukwuemeka,1,0,1,33639955,1,2.97265558173309e-08
12788,13664460,500251051,2392452169,Southampton,Fulham,Antonee Robinson,1,0,2,33639955,1,5.94531116346618e-08
12789,13119652,470673182,2271425730,Southampton,West Ham,Sam Amo-Ameyaw,1,0,1,33639955,1,2.97265558173309e-08
12790,13270881,476743919,2297163839,Everton,Leicester,Beto,2,1,257,33639955,2,7.63972484505404e-06
12791,12569994,441613725,2148353472,Chelsea,Crystal Palace,Daichi Kamada,2,1,8,33639955,2,2.37812446538647e-07
12792,12899934,462748993,2237974306,Tottenham,Ipswich,Radu Dragusin,1,0,14,33639955,1,4.16171781442633e-07
12793,13770861,504487169,2411328792,Arsenal,Newcastle,Gabriel Martinelli,1,0,1,33639955,1,2.97265558173309e-08
12794,12931181,465123951,2250875123,Southampton,Liverpool,Conor Bradley,2,1,36,33639955,2,1.07015600942391e-06
